Datum;Empfänger_Sender;IBAN;Verwendungszweck;Betrag_EURO;Kategorie;Status
2025-01-01;Nordstern Digital GmbH;DE45100100100123456789;Gehalt 01/2025;3050.00;Gehalt;Gebucht
2025-01-02;Rheinblick Immobilien GmbH;DE12500105170648489890;Miete 01/2025;-1020.00;Wohnen;Gebucht
2025-01-03;Stadtwerke Musterstadt;DE12300200300011223344;Abschlag Strom und Gas 01/2025;-138.00;Nebenkosten;Gebucht
2025-01-04;Lidl Dienstleistung GmbH;DE89370400440532013000;Lebensmitteleinkauf;-66.01;Lebensmittel;Gebucht
2025-01-05;Vodafone GmbH;DE22300200300445566778;Mobilfunkvertrag 01/2025;-29.99;Telekommunikation;Gebucht
2025-01-06;Spotify AB;DE55500105170123411111;Premium-Abo 01/2025;-10.99;Unterhaltung;Gebucht
2025-01-07;Fitness First GmbH;DE88400500000998877665;Mitgliedsbeitrag 01/2025;-39.90;Sport & Freizeit;Gebucht
2025-01-08;Netflix International B.V.;DE55500105170123456789;Streaming-Abo 01/2025;-17.99;Unterhaltung;Gebucht
2025-01-09;Verkehrsbetriebe Musterstadt;DE11200300000123456789;ÖPNV-Monatsticket 01/2025;-58.00;Transport;Gebucht
2025-01-10;Allianz Versicherungs-AG;DE33200400000554433221;Versicherungsbeitrag Q1/2025;-82.50;Versicherungen;Gebucht
2025-01-11;ALDI Süd;DE89370400440532013000;Lebensmitteleinkauf;-43.88;Lebensmittel;Gebucht
2025-01-13;Bäckerei Müller;DE66700800000112233445;Frühstück und Backwaren;-5.37;Gastronomie;Gebucht
2025-01-16;dm-drogerie markt;DE44500105170987654321;Drogerie und Haushalt;-19.64;Drogerie & Haushalt;Gebucht
2025-01-18;REWE Markt GmbH;DE89370400440532013000;Lebensmitteleinkauf;-50.24;Lebensmittel;Gebucht
2025-01-22;Burgermeister GmbH;DE66700800000112233445;Restaurantbesuch;-54.38;Gastronomie;Gebucht
2025-01-25;EDEKA Zentrale Stiftung;DE89370400440532013000;Lebensmitteleinkauf;-45.81;Lebensmittel;Gebucht
2025-01-27;OTTO GmbH;DE33500700100876543210;Winterkleidung;-71.06;Bekleidung;Gebucht
2025-02-01;Nordstern Digital GmbH;DE45100100100123456789;Gehalt 02/2025;3050.00;Gehalt;Gebucht
2025-02-02;Rheinblick Immobilien GmbH;DE12500105170648489890;Miete 02/2025;-1020.00;Wohnen;Gebucht
2025-02-03;Stadtwerke Musterstadt;DE12300200300011223344;Abschlag Strom und Gas 02/2025;-138.00;Nebenkosten;Gebucht
2025-02-04;ALDI Süd;DE89370400440532013000;Lebensmitteleinkauf;-88.80;Lebensmittel;Gebucht
2025-02-05;Vodafone GmbH;DE22300200300445566778;Mobilfunkvertrag 02/2025;-29.99;Telekommunikation;Gebucht
2025-02-06;Spotify AB;DE55500105170123411111;Premium-Abo 02/2025;-10.99;Unterhaltung;Gebucht
2025-02-07;Fitness First GmbH;DE88400500000998877665;Mitgliedsbeitrag 02/2025;-39.90;Sport & Freizeit;Gebucht
2025-02-08;Netflix International B.V.;DE55500105170123456789;Streaming-Abo 02/2025;-17.99;Unterhaltung;Gebucht
2025-02-09;Verkehrsbetriebe Musterstadt;DE11200300000123456789;ÖPNV-Monatsticket 02/2025;-58.00;Transport;Gebucht
2025-02-11;REWE Markt GmbH;DE89370400440532013000;Lebensmitteleinkauf;-51.81;Lebensmittel;Gebucht
2025-02-13;Bäckerei Müller;DE66700800000112233445;Frühstück und Backwaren;-5.35;Gastronomie;Gebucht
